Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

          9    0 0000E6E0 A_SHAFinal
         10    1 0000E810 A_SHAInit
         11    2 0000E850 A_SHAUpdate
         12    3 000EAC10 AlpcAdjustCompletionListConcurrencyCount
         13    4 0007E220 AlpcFreeCompletionListMessage
         14    5 000EAC40 AlpcGetCompletionListLastMessageInformation
         15    6 000EAC60 AlpcGetCompletionListMessageAttributes
         16    7 00072760 AlpcGetHeaderSize
         17    8 00072720 AlpcGetMessageAttribute
         18    9 0007D570 AlpcGetMessageFromCompletionList
         19    A 00088FF0 AlpcGetOutstandingCompletionListMessageCount
         20    B 000726C0 AlpcInitializeMessageAttribute
         21    C 00087B00 AlpcMaxAllowedMessageLength
         22    D 00088F70 AlpcRegisterCompletionList
         23    E 00080920 AlpcRegisterCompletionListWorkerThread
         24    F 00089080 AlpcRundownCompletionList
         25   10 00089060 AlpcUnregisterCompletionList
         26   11 00080530 AlpcUnregisterCompletionListWorkerThread
         27   12 00077020 ApiSetQueryApiSetPresence
         28   13 00088400 ApiSetQueryApiSetPresenceEx
         29   14 00074610 CsrAllocateCaptureBuffer
         30   15 000745C0 CsrAllocateMessagePointer
         31   16 000742F0 CsrCaptureMessageBuffer
         32   17 00074410 CsrCaptureMessageMultiUnicodeStringsInPlace
         33   18 00074510 CsrCaptureMessageString
         34   19 000D6440 CsrCaptureTimeout
         35   1A 000746E0 CsrClientCallServer
         36   1B 0004AF00 CsrClientConnectToServer
         37   1C 000748A0 CsrFreeCaptureBuffer
         38   1D 000D6470 CsrGetProcessId
         39   1E 0008E3A0 CsrIdentifyAlertableThread
         40   1F 000E0160 CsrSetPriorityClass
         41   20 000D6490 CsrVerifyRegion
         42   21 000A2940 DbgBreakPoint
         43   22 00053390 DbgPrint
         44   23 00053350 DbgPrintEx
         45   24 000EACA0 DbgPrintReturnControlC
         46   25 000EACF0 DbgPrompt
         47   26 000EAD40 DbgQueryDebugFilterState
         48   27 000EAD50 DbgSetDebugFilterState
         49   28 000D7C20 DbgUiConnectToDbg
         50   29 000D7C90 DbgUiContinue
         51   2A 000D7CC0 DbgUiConvertStateChangeStructure
         52   2B 000D7CD0 DbgUiConvertStateChangeStructureEx
         53   2C 000D7F80 DbgUiDebugActiveProcess
         54   2D 000D7FF0 DbgUiGetThreadDebugObject
         55   2E 000D8010 DbgUiIssueRemoteBreakin
         56   2F 000D8080 DbgUiRemoteBreakin
         57   30 000D80E0 DbgUiSetThreadDebugObject
         58   31 000D8100 DbgUiStopDebugging
         59   32 000D8120 DbgUiWaitStateChange
         60   33 000A2950 DbgUserBreakPoint
         61   34 00088980 EtwCheckCoverage
         62   35 001238D0 EtwCreateTraceInstanceId
         63   36 0005E220 EtwDeliverDataBlock
         64   37 001234B0 EtwEnumerateProcessRegGuids
         65   38 00061650 EtwEventActivityIdControl
         66   39 00052230 EtwEventEnabled
         67   3A 0002FA00 EtwEventProviderEnabled
         68   3B 000314B0 EtwEventRegister
         69   3C 0002F5F0 EtwEventSetInformation
         70   3D 0002F580 EtwEventUnregister
         71   3E 0002FBC0 EtwEventWrite
         72   3F 00052140 EtwEventWriteEndScenario
         73   40 0007C850 EtwEventWriteEx
         74   41 00086700 EtwEventWriteFull
         75   42 00086EF0 EtwEventWriteNoRegistration
         76   43 00052040 EtwEventWriteStartScenario
         77   44 001235B0 EtwEventWriteString
         78   45 0002FDA0 EtwEventWriteTransfer
         79   46 00081660 EtwGetTraceEnableFlags
         80   47 00081620 EtwGetTraceEnableLevel
         81   48 000815E0 EtwGetTraceLoggerHandle
         82   49 000AFAD0 EtwLogTraceEvent
         83   4A 00032100 EtwNotificationRegister
         84   4B 0002FA90 EtwNotificationUnregister
         85   4C 0005B460 EtwProcessPrivateLoggerRequest
         86   4D 0008E200 EtwRegisterSecurityProvider
         87   4E 0005D5B0 EtwRegisterTraceGuidsA
         88   4F 0005D5F0 EtwRegisterTraceGuidsW
         89   50 0005EAC0 EtwReplyNotification
         90   51 00052550 EtwSendNotification
         91   52 0008C2F0 EtwSetMark
         92   53 00123930 EtwTraceEventInstance
         93   54 00053010 EtwTraceMessage
         94   55 00053040 EtwTraceMessageVa
         95   56 0007D040 EtwUnregisterTraceGuids
         96   57 0007B1B0 EtwWriteUMSecurityEvent
         97   58 0005B900 EtwpCreateEtwThread
         98   59 0005D090 EtwpGetCpuSpeed
         99   5A 00124B00 EvtIntReportAuthzEventAndSourceAsync
        100   5B 00052BE0 EvtIntReportEventAndSourceAsync
        101   5C 000A29F0 ExpInterlockedPopEntrySListEnd
        102   5D 000A29E7 ExpInterlockedPopEntrySListFault
        103   5E 000A29D7 ExpInterlockedPopEntrySListResume
        104   5F 000A2D30 KiRaiseUserExceptionDispatcher
        105   60 000A2B50 KiUserApcDispatcher
        106   61 000A2C70 KiUserCallbackDispatcher
        107   62 000A2CC0 KiUserExceptionDispatcher
        108   63 00199510 KiUserInvertedFunctionTable
        109   64 00021500 LdrAccessResource
        110   65 00078360 LdrAddDllDirectory
        111   66 00070380 LdrAddLoadAsDataTable
        112   67 0002CCC0 LdrAddRefDll
        113   68 000D64E0 LdrAppxHandleIntegrityFailure
        114   69 000AD050 LdrCallEnclave
        115   6A 0002BE20 LdrControlFlowGuardEnforced
        116   6B 000D8150 LdrCreateEnclave
        117   6C 000D8260 LdrDeleteEnclave
        118   6D 0002D710 LdrDisableThreadCalloutsForDll
        119   6E 000EB1E0 LdrEnumResources
        120   6F 00051600 LdrEnumerateLoadedModules
        121   70 00087A10 LdrFastFailInLoaderCallout
        122   71 00008620 LdrFindEntryForAddress
        123   72 000EB4B0 LdrFindResourceDirectory_U
        124   73 00082300 LdrFindResourceEx_U
        125   74 00029370 LdrFindResource_U
        126   75 00087C30 LdrFlushAlternateResourceModules
        127   76 00081EF0 LdrGetDllDirectory
        128   77 0002D060 LdrGetDllFullName
        129   78 0002AB40 LdrGetDllHandle
        130   79 0002D770 LdrGetDllHandleByMapping
        131   7A 000770F0 LdrGetDllHandleByName
        132   7B 00029CA0 LdrGetDllHandleEx
        133   7C 000315C0 LdrGetDllPath
        134   7D 000D9650 LdrGetFailureData
        135   7E 000EB4E0 LdrGetFileNameFromLoadAsDataTable
        136   7F 00086840 LdrGetKnownDllSectionHandle
        137   80 00084220 LdrGetProcedureAddress
        138   81 000796E0 LdrGetProcedureAddressEx
        139   82 00021B00 LdrGetProcedureAddressForCaller
        140   83 000D9670 LdrHotPatchNotify
        141   84 000DCB60 LdrInitShimEngineDynamic
        142   85 000D82F0 LdrInitializeEnclave
        143   86 00073D70 LdrInitializeThunk
        144   87 000D97E0 LdrIsModuleSxsRedirected
        145   88 00083F90 LdrLoadAlternateResourceModule
        146   89 0001F2A0 LdrLoadAlternateResourceModuleEx
        147   8A 0002A150 LdrLoadDll
