Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file E:\KsaLib\0\dll_xp_win7_win11\ntdll_export\ntdll_86.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    2451EFDD time date stamp
        0.00 version
           8 ordinal base
        2482 number of functions
        2482 number of names

    ordinal hint RVA      name

         15    0 0006B8C0 A_SHAFinal
         16    1 000987A0 A_SHAInit
         17    2 0006B9A0 A_SHAUpdate
         18    3 000C3B00 AlpcAdjustCompletionListConcurrencyCount
         19    4 000C3B30 AlpcFreeCompletionListMessage
         20    5 000C3C20 AlpcGetCompletionListLastMessageInformation
         21    6 000C3C50 AlpcGetCompletionListMessageAttributes
         22    7 0006CF50 AlpcGetHeaderSize
         23    8 0006CF10 AlpcGetMessageAttribute
         24    9 000C3C90 AlpcGetMessageFromCompletionList
         25    A 000C3DE0 AlpcGetOutstandingCompletionListMessageCount
         26    B 0006CED0 AlpcInitializeMessageAttribute
         27    C 000C3E00 AlpcMaxAllowedMessageLength
         28    D 000C3E10 AlpcRegisterCompletionList
         29    E 000C3E60 AlpcRegisterCompletionListWorkerThread
         30    F 000C3ED0 AlpcRundownCompletionList
         31   10 000C3EF0 AlpcUnregisterCompletionList
         32   11 000C3F10 AlpcUnregisterCompletionListWorkerThread
         33   12 0006AC10 ApiSetQueryApiSetPresence
         34   13 00045F20 ApiSetQueryApiSetPresenceEx
         35   14 000C3840 CsrAllocateCaptureBuffer
         36   15 000C3860 CsrAllocateMessagePointer
         37   16 000C3880 CsrCaptureMessageBuffer
         38   17 000C3890 CsrCaptureMessageMultiUnicodeStringsInPlace
         39   18 000C3920 CsrCaptureMessageString
         40   19 000C3970 CsrCaptureTimeout
         41   1A 000C39A0 CsrClientCallServer
         42   1B 0006E730 CsrClientConnectToServer
         43   1C 000C39C0 CsrFreeCaptureBuffer
         44   1D 000C39D0 CsrGetProcessId
         45   1E 000C39E0 CsrIdentifyAlertableThread
         46   1F 000B9770 CsrSetPriorityClass
         47   20 000C39F0 CsrVerifyRegion
         48   21 000785A0 DbgBreakPoint
         49   22 0002A260 DbgPrint
         50   23 000C3F80 DbgPrintEx
         51   24 000C3FB0 DbgPrintReturnControlC
         52   25 000C3FE0 DbgPrompt
         53   26 000C4020 DbgQueryDebugFilterState
         54   27 000C4040 DbgSetDebugFilterState
         55   28 000B3250 DbgUiConnectToDbg
         56   29 000B32B0 DbgUiContinue
         57   2A 000B32E0 DbgUiConvertStateChangeStructure
         58   2B 000B3300 DbgUiConvertStateChangeStructureEx
         59   2C 000B3500 DbgUiDebugActiveProcess
         60   2D 000B3550 DbgUiGetThreadDebugObject
         61   2E 000B3570 DbgUiIssueRemoteBreakin
         62   2F 000B35C0 DbgUiRemoteBreakin
         63   30 000B3620 DbgUiSetThreadDebugObject
         64   31 000B3640 DbgUiStopDebugging
         65   32 000B3670 DbgUiWaitStateChange
         66   33 00078590 DbgUserBreakPoint
         67   34 00106B80 EtwCheckCoverage
         68   35 001073A0 EtwCreateTraceInstanceId
         69   36 0006A700 EtwDeliverDataBlock
         70   37 00106BD0 EtwEnumerateProcessRegGuids
         71   38 00061220 EtwEventActivityIdControl
         72   39 0006AEE0 EtwEventEnabled
         73   3A 00029DE0 EtwEventProviderEnabled
         74   3B 00042590 EtwEventRegister
         75   3C 00067340 EtwEventSetInformation
         76   3D 00040630 EtwEventUnregister
