Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E13DD time date stamp Thu Feb 21 10:58:37 2019
        0.00 version
           1 ordinal base
        1993 number of functions
        1985 number of names

    ordinal hint RVA      name

          9    0 00066F80 A_SHAFinal
         10    1 00065CD0 A_SHAInit
         11    2 00066EB0 A_SHAUpdate
         12    3 00053460 AlpcAdjustCompletionListConcurrencyCount
         13    4 00055CD0 AlpcFreeCompletionListMessage
         14    5 000A5460 AlpcGetCompletionListLastMessageInformation
         15    6 000B5560 AlpcGetCompletionListMessageAttributes
         16    7 00050990 AlpcGetHeaderSize
         17    8 00054C20 AlpcGetMessageAttribute
         18    9 00049210 AlpcGetMessageFromCompletionList
         19    A 000A5440 AlpcGetOutstandingCompletionListMessageCount
         20    B 00050950 AlpcInitializeMessageAttribute
         21    C 000526A0 AlpcMaxAllowedMessageLength
         22    D 000520A0 AlpcRegisterCompletionList
         23    E 00055460 AlpcRegisterCompletionListWorkerThread
         24    F 000A5400 AlpcRundownCompletionList
         25   10 000A5420 AlpcUnregisterCompletionList
         26   11 00055960 AlpcUnregisterCompletionListWorkerThread
         27   12 00019CB0 CsrAllocateCaptureBuffer
         28   13 00054460 CsrAllocateMessagePointer
         29   14 00053F10 CsrCaptureMessageBuffer
         30   15 00017F10 CsrCaptureMessageMultiUnicodeStringsInPlace
         31   16 00017E60 CsrCaptureMessageString
         32   17 000A7310 CsrCaptureTimeout
         33   18 000167A0 CsrClientCallServer
         34   19 00019A70 CsrClientConnectToServer
         35   1A 00018F50 CsrFreeCaptureBuffer
         36   1B 000A7330 CsrGetProcessId
         37   1C 000A6CD0 CsrIdentifyAlertableThread
         38   1D 000A6BC0 CsrSetPriorityClass
         39   1E 000B1E10 CsrVerifyRegion
         40   1F 0006B1D0 DbgBreakPoint
         41   20 0000BED0 DbgPrint
         42   21 0000BDE0 DbgPrintEx
         43   22 000CBDA0 DbgPrintReturnControlC
         44   23 000A5370 DbgPrompt
         45   24 000A5360 DbgQueryDebugFilterState
         46   25 000A5350 DbgSetDebugFilterState
         47   26 000B1DA0 DbgUiConnectToDbg
         48   27 000B1D00 DbgUiContinue
         49   28 000B1AD0 DbgUiConvertStateChangeStructure
         50   29 000C1D30 DbgUiDebugActiveProcess
         51   2A 000B1D80 DbgUiGetThreadDebugObject
         52   2B 000C1C70 DbgUiIssueRemoteBreakin
         53   2C 000F9390 DbgUiRemoteBreakin
         54   2D 000B1D60 DbgUiSetThreadDebugObject
         55   2E 000B1CE0 DbgUiStopDebugging
         56   2F 000B1D30 DbgUiWaitStateChange
         57   30 0006B1E0 DbgUserBreakPoint
         58   31 000CD780 EtwCreateTraceInstanceId
         59   32 000FD8F0 EtwDeliverDataBlock
         60   33 000BF710 EtwEnumerateProcessRegGuids
         61   34 00052A60 EtwEventActivityIdControl
         62   35 0004ADA0 EtwEventEnabled
         63   36 000A8020 EtwEventProviderEnabled
         64   37 00016DA0 EtwEventRegister
         65   38 00068EE0 EtwEventSetInformation
         66   39 000437A0 EtwEventUnregister
         67   3A 0004B0F0 EtwEventWrite
         68   3B 000D0A40 EtwEventWriteEndScenario
         69   3C 000CFFA0 EtwEventWriteEx
         70   3D 0004C460 EtwEventWriteFull
         71   3E 000B6B80 EtwEventWriteNoRegistration
         72   3F 000D0B30 EtwEventWriteStartScenario
         73   40 000CFD20 EtwEventWriteString
         74   41 000CFFF0 EtwEventWriteTransfer
         75   42 000B6C40 EtwGetTraceEnableFlags
         76   43 000B6C80 EtwGetTraceEnableLevel
         77   44 000B6CC0 EtwGetTraceLoggerHandle
         78   45 000D09D0 EtwLogTraceEvent
         79   46 00017120 EtwNotificationRegister
         80   47 000CE9C0 EtwNotificationUnregister
         81   48 000FCAF0 EtwProcessPrivateLoggerRequest
         82   49 000CD730 EtwRegisterSecurityProvider
         83   4A 0004B500 EtwRegisterTraceGuidsA
         84   4B 0000DCD0 EtwRegisterTraceGuidsW
         85   4C 000CD6B0 EtwReplyNotification
         86   4D 000CDCE0 EtwSendNotification
         87   4E 000CD700 EtwSetMark
         88   4F 000D0720 EtwTraceEventInstance
