Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        2033 number of functions
        2025 number of names

    ordinal hint RVA      name

         18    0 0006CA07 A_SHAFinal
         19    1 0006AABD A_SHAInit
         20    2 0006CAD7 A_SHAUpdate
         21    3 000AD645 AlpcAdjustCompletionListConcurrencyCount
         22    4 000AD2C4 AlpcFreeCompletionListMessage
         23    5 000AD3E0 AlpcGetCompletionListLastMessageInformation
         24    6 000AD3AC AlpcGetCompletionListMessageAttributes
         25    7 00070F08 AlpcGetHeaderSize
         26    8 00070E9D AlpcGetMessageAttribute
         27    9 000AD10D AlpcGetMessageFromCompletionList
         28    A 000AD407 AlpcGetOutstandingCompletionListMessageCount
         29    B 00070ED4 AlpcInitializeMessageAttribute
         30    C 000AD669 AlpcMaxAllowedMessageLength
         31    D 000AD5C0 AlpcRegisterCompletionList
         32    E 000AD426 AlpcRegisterCompletionListWorkerThread
         33    F 000AD629 AlpcRundownCompletionList
         34   10 000AD60D AlpcUnregisterCompletionList
         35   11 000AD501 AlpcUnregisterCompletionListWorkerThread
         36   12 000ACDFB CsrAllocateCaptureBuffer
         37   13 000ACE1B CsrAllocateMessagePointer
         38   14 000ACE2B CsrCaptureMessageBuffer
         39   15 000ACED4 CsrCaptureMessageMultiUnicodeStringsInPlace
         40   16 000ACE3B CsrCaptureMessageString
         41   17 000ACE4B CsrCaptureTimeout
         42   18 000ACDEB CsrClientCallServer
         43   19 0004AD41 CsrClientConnectToServer
         44   1A 000ACE0B CsrFreeCaptureBuffer
         45   1B 000ACE7E CsrGetProcessId
         46   1C 000ACDE1 CsrIdentifyAlertableThread
         47   1D 000A1AB8 CsrSetPriorityClass
         48   1E 000ACF50 CsrVerifyRegion
         49   1F 0001000C DbgBreakPoint
         50   20 00072C16 DbgPrint
         51   21 0007347F DbgPrintEx
         52   22 000AD739 DbgPrintReturnControlC
         53   23 000AD674 DbgPrompt
         54   24 000AD6BA DbgQueryDebugFilterState
         55   25 000AD6CA DbgSetDebugFilterState
         56   26 0009F18B DbgUiConnectToDbg
         57   27 0009F233 DbgUiContinue
         58   28 0009F35C DbgUiConvertStateChangeStructure
         59   29 0009F31A DbgUiDebugActiveProcess
         60   2A 0009F1DD DbgUiGetThreadDebugObject
         61   2B 0009F2D3 DbgUiIssueRemoteBreakin
         62   2C 0009F27A DbgUiRemoteBreakin
         63   2D 0009F1EF DbgUiSetThreadDebugObject
         64   2E 0009F258 DbgUiStopDebugging
         65   2F 0009F20C DbgUiWaitStateChange
         66   30 00010008 DbgUserBreakPoint
         67   31 000DAF44 EtwCreateTraceInstanceId
         68   32 0005A087 EtwDeliverDataBlock
         69   33 000DB761 EtwEnumerateProcessRegGuids
         70   34 0006FB59 EtwEventActivityIdControl
         71   35 0003875F EtwEventEnabled
         72   36 000DB2CC EtwEventProviderEnabled
         73   37 00042875 EtwEventRegister
         74   38 000DB26A EtwEventSetInformation
         75   39 0005923D EtwEventUnregister
         76   3A 0005979D EtwEventWrite
