Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    45D6A036 time date stamp Sat Feb 17 14:27:02 2007
        0.00 version
           1 ordinal base
        1412 number of functions
        1412 number of names

    ordinal hint RVA      name

         13    0 00065473 CsrAllocateCaptureBuffer
         14    1 00065493 CsrAllocateMessagePointer
         15    2 000654A3 CsrCaptureMessageBuffer
         16    3 000655C8 CsrCaptureMessageMultiUnicodeStringsInPlace
         17    4 000654B3 CsrCaptureMessageString
         18    5 000654C3 CsrCaptureTimeout
         19    6 00065463 CsrClientCallServer
         20    7 00065439 CsrClientConnectToServer
         21    8 00065483 CsrFreeCaptureBuffer
         22    9 00065573 CsrGetProcessId
         23    A 00065449 CsrIdentifyAlertableThread
         24    B 000280C4 CsrNewThread
         25    C 0006553E CsrProbeForRead
         26    D 000654F6 CsrProbeForWrite
         27    E 00065453 CsrSetPriorityClass
         28    F 0001002D DbgBreakPoint
         29   10 0006795F DbgPrint
         30   11 000322EC DbgPrintEx
         31   12 00067989 DbgPrintReturnControlC
         32   13 000678F9 DbgPrompt
         33   14 0006793F DbgQueryDebugFilterState
         34   15 0006794F DbgSetDebugFilterState
         35   16 00064F65 DbgUiConnectToDbg
         36   17 0006500D DbgUiContinue
         37   18 00065138 DbgUiConvertStateChangeStructure
         38   19 000650F6 DbgUiDebugActiveProcess
         39   1A 00064FB7 DbgUiGetThreadDebugObject
         40   1B 000650B1 DbgUiIssueRemoteBreakin
         41   1C 00065054 DbgUiRemoteBreakin
         42   1D 00064FC9 DbgUiSetThreadDebugObject
         43   1E 00065032 DbgUiStopDebugging
         44   1F 00064FE6 DbgUiWaitStateChange
         45   20 00010032 DbgUserBreakPoint
         46   21 00089CA6 EtwControlTraceA
         47   22 0008BD69 EtwControlTraceW
         48   23 0008AC51 EtwCreateTraceInstanceId
         49   24 0008A339 EtwEnableTrace
         50   25 0008AD11 EtwEnumerateTraceGuids
         51   26 0008AEE0 EtwFlushTraceA
         52   27 0008C4D8 EtwFlushTraceW
         53   28 0008AC0D EtwGetTraceEnableFlags
         54   29 0008ABC9 EtwGetTraceEnableLevel
         55   2A 0008AB14 EtwGetTraceLoggerHandle
         56   2B 0008C4F9 EtwNotificationRegistrationA
         57   2C 0008C521 EtwNotificationRegistrationW
         58   2D 0008C457 EtwQueryAllTracesA
         59   2E 0008C439 EtwQueryAllTracesW
         60   2F 0008AE7D EtwQueryTraceA
         61   30 0008C475 EtwQueryTraceW
         62   31 0008C56E EtwReceiveNotificationsA
         63   32 0008C548 EtwReceiveNotificationsW
         64   33 0003FC11 EtwRegisterTraceGuidsA
         65   34 0003FCBB EtwRegisterTraceGuidsW
         66   35 0008B29A EtwStartTraceA
         67   36 0008B811 EtwStartTraceW
         68   37 0008AE9E EtwStopTraceA
         69   38 0008C496 EtwStopTraceW
         70   39 0008A4D1 EtwTraceEvent
         71   3A 0008A5C9 EtwTraceEventInstance
         72   3B 0008B109 EtwTraceMessage
         73   3C 0008B199 EtwTraceMessageVa
         74   3D 0008A7E1 EtwUnregisterTraceGuids
         75   3E 0008AEBF EtwUpdateTraceA
         76   3F 0008C4B7 EtwUpdateTraceW
         77   40 0008C6BA EtwpGetTraceBuffer
         78   41 00030B13 EtwpSetHWConfigFunction
         10   42 00011954 ExpInterlockedPopEntrySListEnd
         11   43 00011952 ExpInterlockedPopEntrySListFault
         12   44 00011945 ExpInterlockedPopEntrySListResume
         79   45 0001EAC0 KiFastSystemCall
         80   46 0001EAC4 KiFastSystemCallRet
         81   47 0001EAD0 KiIntSystemCall
         82   48 0001EA74 KiRaiseUserExceptionDispatcher
         83   49 0001E978 KiUserApcDispatcher
         84   4A 0001E9E0 KiUserCallbackDispatcher
         85   4B 0001EA28 KiUserExceptionDispatcher
         86   4C 00034609 LdrAccessOutOfProcessResource
         87   4D 00029487 LdrAccessResource
         88   4E 00040DDC LdrAddRefDll
         89   4F 00052232 LdrAlternateResourcesEnabled
         90   50 0003112C LdrCreateOutOfProcessImage
         91   51 000310E1 LdrDestroyOutOfProcessImage
         92   52 00030931 LdrDisableThreadCalloutsForDll
         93   53 00067B0C LdrEnumResources
         94   54 00037053 LdrEnumerateLoadedModules
         95   55 00031295 LdrFindCreateProcessManifest
         96   56 00067A77 LdrFindEntryForAddress
         97   57 0002F78F LdrFindResourceDirectory_U
         98   58 00068EB9 LdrFindResourceEx_U
         99   59 00029466 LdrFindResource_U
        100   5A 00068DD2 LdrFlushAlternateResourceModules
        101   5B 00026D0B LdrGetDllHandle
        102   5C 00026D2C LdrGetDllHandleEx
        103   5D 00027340 LdrGetProcedureAddress
        104   5E 0005CD6C LdrHotPatchRoutine
        105   5F 0005E00B LdrInitShimEngineDynamic
        106   60 00010000 LdrInitializeThunk
        107   61 000296DE LdrLoadAlternateResourceModule
        108   62 00026AE8 LdrLoadDll
        109   63 000250BD LdrLockLoaderLock
        110   64 000362C4 LdrOpenImageFileOptionsKey
        111   65 00068EDB LdrProcessRelocationBlock
        112   66 0005D94D LdrQueryImageFileExecutionOptions
        113   67 0005D905 LdrQueryImageFileExecutionOptionsEx
        114   68 0002F523 LdrQueryImageFileKeyOption
        115   69 0005D721 LdrQueryProcessModuleInformation
        116   6A 0005D741 LdrSetAppCompatDllRedirectionCallback
        117   6B 000375B3 LdrSetDllManifestProber
        118   6C 000356C9 LdrShutdownProcess
